Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",9-10 Feb,Spain,Speech to pan European conference on Government efficiency. Bilateral meetings with ministerial counterparts.,Scheduled,,"£1,207.39"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",11-Feb,Dubai,To attend and speak at the Dubai Government Summit.,Scheduled,,"£2,706.90"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",19 - 21 March,Prague,Bilateral meetings with Deputy Prime Minister and Czech counterparts.,Scheduled,,"£1,139.00"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",3-4 March,Mumbai and New Delhi ,Meetings on inward investment,Scheduled,,"£2,367.00"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",24 -26 March,Shanghai and Beijing,"Range of meetings covering inward investment, mandarin teaching, and discussion with Chinese authorities.",Scheduled,,"£5,816.50"
"Parliamentary Secretary, Jo Johnson MP",3 - 4 February ,Brussels ,Official meetings,Eurostar,,£179.00
"Minister Without Portfolio, Rt Hon Grant Shapps MP",5-8 Jan ,"Hanoi, Vietnam ",To co-chair the 7th annual meeting of the UK-Vietnam Joint Economic and Trade Committee (JETCO) with the Vice Minister of Industry and Trade of Vietnam.,Scheduled,,"£4,881.75"
"Minister Without Portfolio, Rt Hon Grant Shapps MP",25 - 26 Feb ,"Barcelona,  Spain",To provide UK representation at the Mobile World Congress and meet with UK companies and the Spanish SoS for Telecommunications,Scheduled,,£639.63
"Minister Without Portfolio, Rt Hon Grant Shapps MP",8-12 March,"Singapore and Kuala Lumpur, Malaysia","To lead the Smart Cities, Smart Living trade mission.",Scheduled,,"£2,483.19"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",10-19 Jan,China,Trade: Health,Scheduled,,"£3,821.00"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",11-12 Feb,Brussels ,Transatlantic Trade and Investment Partnership (TTIP),Eurostar,,£490.00
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",22-30 March ,Brazil ,Trade (Energy and healthcare),Scheduled,,"£4,353.00"
"Minister without Portfolio, The Rt Hon John Hayes MP",30 March - 04 April,South Korea,Seoul GREAT Week ,Scheduled,,"£4,722.00"
