Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Parliamentary Secretary, Deputy Leader of the House of Commons, David Heath MP",11-Jan-12,"St Johns College, Oxford",Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",11-Jan-12,"Tony Gallagher, Daily Telegraph",Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",17-Jan-12,PricewaterhouseCoopers,Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",02-Feb-12,The Times,Lunch
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",21-Mar-12,"Maggie Keswick Jencks, Cancer Caring Centres Trust (Maggies)",Charity Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",27-Mar-12,The Times,Lunch
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLoughlin MP",22-Feb-12,Sky News,Lunch
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLoughlin MP",29-Feb-12,Channel 4,Lunch
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",29-Feb-12,Community Safety Trust,Annual Dinner
"Lords Commissioner of HM Household, Robert Goodwill MP",04-Feb-12,"Ed Asquith, Scarborough Evening News",Dinner
"Lords Commissioner of HM Household, Robert Goodwill MP",16-Mar-12,Ladbrokes,Cheltenham Races including lunch *
