Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",12/10/2012,Hakluyt and Company,Lunch
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",23/10/2012,BBC,Lunch
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",20/11/2012,Goldman Sachs,Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",21/11/2012,Spectator Parliamentarian of the Year Awards,Lunch
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",04/12/2012,The Times,Lunch
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Sir George Young MP",06/11/2012,Patrons Club,Lunch
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Sir George Young MP",11/12/2012,National Audit Office,Lunch
"Commons Government Whip, Nicky Morgan MP",26/11/2012,Wabtec,Dinner
"Commons Government Whip, Nicky Morgan MP",21/11/2012,ITV,Drinks reception
"Commons Government Whip, Nicky Morgan MP",18/12/2012,BBC,Screening of Dr Who *
"Chief Whip (Captain of the Honourable Corps of the Gentlemen-at-Arms), The Rt Hon Baroness Anelay of St Johns DBE",10/12/2012,Football Conference Ltd,Lunch
"Lords Government Whip, Lord Ahmad of Wimbledon",26/10/2012,Allen and Overy,Dinner *
"Lords Government Whip, Earl Attlee",05/10/2012,Anglo-French medical society,Dinner *
"Lords Government Whip, Lord Newby",05/11/2012,Iraq Britain Business Council,Reception
"Lords Government Whip, Lord Newby",10/11/2012,Commando 999,Dinner *
"Lords Government Whip, Lord Newby",10/12/2012,Transparency International UK,Dinner
"Lords Government Whip, Lord Newby",14/12/2012,London Stock Exchange,Lunch
"Lords Government Whip, Lady Northover",11/10/2012,Plan UK,Dinner
"Lords Government Whip, Lady Northover",19/11/2012,CSR Groups,Breakfast/light refreshments
"Lords Government Whip, Lady Northover",30/11/2012,Blue Peace,Lunch/light refreshments
"Lords Government Whip, Lady Northover",13/12/2012,Anglican Alliance,Light refreshments
"Lords Government Whip, Lady Stowell of Beeston",07/10/2012,Channel 4,Dinner
"Lords Government Whip, Lady Stowell of Beeston",09/10/2012,BBC,Light refreshments
"Lords Government Whip, Lady Stowell of Beeston",06/11/2012,CNN,Reception
"Lords Government Whip, Lady Stowell of Beeston",28/11/2012,Terrence Higgins Trust,Light refreshments
"Lords Government Whip, Lord Wallace of Saltaire",26/11/2012,Chatham House,Dinner
