Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",15-Jan,Jim Leng,Lunch
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",11-Mar,Buchanan Harvey and Co,Dinner
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",12-Mar,Bright Blue,Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",27-Jan,The Infrastructure Forum,Lunch 
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",20-Feb,"Amol Rajan, The Independent",Lunch 
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",26-Feb,Royal Anniversary Trust,Dinner (speech)
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",04-Mar,Piramal,Lunch
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",13-Feb,Birmingham Chamber of Commerce,Lunch
"Minister of State for Cities and the Constitution,  The Rt Hon Greg Clark MP",18-Mar,KPMG,Dinner
"Parliamentary Secretary, Jo Johnson MP",16 – 18 January ,Franco-British Colloque,Accommodation and meals
"Parliamentary Secretary, Jo Johnson MP",20-Jan,Edelman,Dinner
"Parliamentary Secretary, Jo Johnson MP",22-Jan,Portland Communications,Dinner
"Parliamentary Secretary, Jo Johnson MP",11-Mar,BVCA,Dinner
"Parliamentary Secretary, Jo Johnson MP",27 – 28 March,Koenigswinter,Dinner and Accommodation
"Parliamentary Secretary, Jo Johnson MP",28-Mar,"Evgeny Lebedev, Evening Standard",Lunch
"Parliamentary Secretary, Jo Johnson MP",31-Mar,Evening Standard,Reception – launch of London Live 
"Minister without Portfolio, The Rt Hon Grant Shapps MP",04-Mar,"Martin Townsend, Sunday Express",Lunch
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",08-Jan,The Times ,Lunch
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",13-Jan,China Britain Business Council,Business Lunch
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",22-Jan,"Gary Gibbon, Channel 4 News",Lunch
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",12-Mar,HSBC,Dinner
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",20-Mar,China Association,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",30-Jan,Mayor of London,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",25-Feb,Open University,Dinner
"Minister without Portfolio, The Rt Hon John Hayes MP",04-Mar,The Standard,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",10-Mar,Mayor of London,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",17-Mar,The Daily Mail,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",27-Mar,The Telegraph,Lunch
