Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",01-Apr-12,Tottenham Hotspur Football Club,Lunch and tickets to football match
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",26-Apr-12,New Century Media,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",31-May-12,The infrastructure Forum,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",07-Jun-12,Royal Hospital Chelsea,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",12-Jun-12,The City of London Corporation,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",13-Jun-12,The Times,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",13-Jun-12,Challenge Network,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",14-Jun-12,Civil Society,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",25-Jun-12,Business Growth Fund,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",25-Jun-12,Interel UK,Breakfast
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",18-Apr-12,BBC,Lunch
"Minister without Portfolio, Rt Hon Baroness Warsi",10-May-12,British Pakistan Foundation,Dinner
