Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",12th April,Spiralite,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",13th April,Telegraph,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",14th April,Russell Group,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",26th April,Daily Mail,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",4th May,"Archie Norman, ITV",Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",17th May,CBI,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",19th May,BlueSpark Consulting & NCVO,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",23rd May,Steria,2 tickets to Chelsea Flower Show
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",24th May,The Times,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",25th May,Brunswick PR,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",2nd June,News of the World,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",9th June,Charity Awards/Civil Society Media,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",21st June,Sir Philip Green/Arcadia,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",28th June,BBC,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",29th  June,Daily Mail,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",6th April,The Rt Hon Sir Geoffrey Pattie,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",20th April,Dr James Colthurst ,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",19th May,Arbuthnot Banking Group PLC,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",19th May,Centre for Social Justice,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",23rd May,Stable,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",24th May,CBI PSSB,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",6th June,Sir Ronald Cohen and Nick O'Donohoe,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",29th June,Second Nature,Roundtable Lunch
