Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",11-Feb-13,The Mail/The Independent,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",06-Mar-13,Moloney Search Ltd,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",14-Mar-13,BBC,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18-Mar-13,Times,Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",19-Mar-13,Politeia,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",12-Feb-13,British Venture Capital Association,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",27-Feb-13,Reform,Dinner
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",16-Jan-13,The Daily Telegraph ,Lunch
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",03-Jan-13,"Catherine Houlihan, ITV Anglia News ",Lunch 
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",04-Jan-13,"Nigel Pickover, Eastern Daily Press/Norwich Evening News",Lunch 
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",12-Feb-13,British Private Equity and Venture Capital Association (BVCA),Dinner
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",11-Mar-13,The Security Awareness Special Interest Group,Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",08-Jan-13,Financial Times,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",10-Jan-13,The Economist,Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",13-Feb-13,The Times and The Independent,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",28-Feb-13,HSBC,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",05-Mar-13,Constitutional and Administrative Law Bar Association,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",13-Mar-13,The Times,Lunch
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
