Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",1-Jul,University of Cranfield,Dinner
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",2-Jul,"Cobham Aviation, Special Forces Club ",Dinner
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",12-Jul,BBC Proms,Ticket
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",13-Sep,Rolta,Dinner 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",16-Sep,Infosys,Lunch 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",24-Sep,Little British Battlers ,Dinner
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",29-Sep,BBC/Spectator,Dinner 
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",30-Sep,IPPR,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",30-Jul,Big Society Capital & Indian Angel Investor Network,Dinner (Big Society Capital)
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",31-Aug,Mahindra & Mahindra,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",16-Sep,Mahindra & Mahindra,Dinner (in Mumbai)
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",03-Jul,Intellect,Dinner
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",19-Aug,CITB,Lunch
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",23-Aug,Telegraph/Guardian,Lunch
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",09-Sep,Operation Black Vote,Dinner
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",11-Sep,Association of Electoral Administrators (AEA),Lunch
"Parliamentary Secretary, Jo Johnson MP ",Aug-13,Alvarez and Marsal,Lunch
"Parliamentary Secretary, Jo Johnson MP ",Sep-13,Channel 4,Lunch
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",10-Sep,Economist,Dinner
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",11-Sep,Economist,‘End of Summer’ Party
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",12-Sep,Parliamentary Press Gallery,Lunch
"Minister without Portfolio, The Rt Hon John Hayes MP",09-Jul,Association of Colleges,Dinner
"Minister without Portfolio, The Rt Hon Grant Shapps MP",,Nil Return,
