Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",12-Jul-12,Federation of Small Businesses,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",17-Jul-12,Elderstreet,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18-Jul-12,PWC,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",01-Aug-12,The Guardian,Lunch 
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",13-Sep-12,Citigroup,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",17-Sep-12,Policy Exchange,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",24-Sep-12,Global Radio,Concert tickets*
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",25-Sep-12,Deloitte,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",12-Sep-12,Telegraph Media Group,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",13-Sep-12,The Economist,Reception 
