Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",01-Oct-12,CBI,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",07-Oct-12,BBC,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",07-Oct-12,The Sun,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",08-Oct-12,Channel 4,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",09-Oct-12,Sunday Times,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18-Oct-12,Worshipful Company of Management consultants,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18-Nov-12,Ramsay Healthcare,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",21-Nov-12,The Spectator,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",29-Nov-12,Arbuthnot Banking group,Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",07-Oct-12,The Times,Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",08-Oct-12,"John Mullin, The Independent on Sunday",Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",15-Oct-12,Wellcome Trust,Dinner
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",14-Nov-12,G P Hinduja,Dinner
"Minister of State, The Rt Hon David Laws MP",21-Nov-12,The Sun,Lunch
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",19-Nov-12,Telegraph,Lunch
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",28-Nov-12,RLM Finsbury,Lunch
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",18-Dec-12,The Times,Lunch
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",05-Nov-12,Cyber Security Challenge UK,Dinner
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",21-Nov-12,National Specialist Contractors’ Council (NSCC),Lunch
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",21-Nov-12,Global Strategy Forum,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",07-Oct-12,Nick Robinson (BBC),Drink
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",07-Oct-12,The Observer,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",08-Oct-12,Telegraph (hosted by Murdoch MacLennan),Drinks reception 
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",08-Oct-12,The Daily Mail ,Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",08-Oct-12,Lionel Barber (Financial Times),Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",09-Oct-12,The Times,Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",09-Oct-12,Spectator,Drinks reception
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",06-Nov-12,The Times,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",12-Nov-12,British American Business Council,Dinner
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",14-Nov-12,Kuwait Investment Office,Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",29-Nov-12,Wallace Trust Fundraising,Dinner and reception
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",11-Dec-12,"Paul Dacre, Daily Mail",Lunch
"Minister without Portfolio, Rt Hon Kenneth Clarke MP",13-Dec-12,Petrobas Delegation,Dinner
"Minister without Portfolio, Rt Hon Grant Shapps MP",08-Oct-12,"Sarah Sands, Evening Standard",Lunch
"Minister without Portfolio, Rt Hon Grant Shapps MP",25-Oct-12,"Justin Cohen, Jewish News",Lunch
"Minister without Portfolio, Rt Hon Grant Shapps MP",03-Dec-12,"Nick Robinson, BBC",Lunch
