Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",07/10/2011,BBC,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",18/10/2011,Industry Forum,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",21/10/2011,Property Network Forum,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",31/10/2011,ICAP,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",31/10/2011,Lazard,Dinner
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",03/11/2011,Odgers Berndston,Breakfast
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",10/11/2011,Policy Exchange,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",15/11/2011,The Times,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",28/11/2011,The Herald and Independent,Lunch
"Minister for the Cabinet Office,  Paymaster General, The Rt Hon Francis Maude MP",13/12/2011,CBI,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",01/10/2011,The Times,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",02/10/2011,BBC,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",02/10/2011,"Geordie Grieg, The Evening Standard",Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",02/10/2011,BBC,Drink 
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",03/10/2011,"John Mullin, The Independent on Sunday",Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",03/10/2011,Daily Telegraph,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",04/10/2011,ITV,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",04/10/2011,The Guardian,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",13/10/2011,Rothschild ,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",31/10/2011,Asia House,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",24/11/2011,Daily Telegraph,Breakfast
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",05/12/2011,Rothschild,Dinner
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",14/12/2011,RSPB and United Utilities,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",21/11/2011,NSPCC,Dinner
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",24/11/2011,Good Deals,Breakfast
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",05/12/2011,Geared for Giving,Lunch 
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",08/12/2011,Bates Wells and Braithwates,Breakfast 
"Minister without Portfolio, Rt Hon Baroness Warsi",29/11/2011,"Co-existence Trust, Pi Capital",Breakfast
