Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",08-May,Brussels,Meeting Meetings to discuss EU Procurement,Eurostar,,£356.22
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",2-6 April,Johannesburg,To attend the Senior Management Service Summit,Scheduled,,"£5,950.23"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",24-29 May,"Jordan, Israel",Conference,Scheduled,,"£1,833.51"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",7-9 May,China,UK visa  processes in China and inward investment,Scheduled,,"£4,534.80"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",27-29 May,India,Investment,Scheduled,,"£2,996.85"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",3-4 June,China,Supporting a UKTI Trade Mission,Scheduled,,£5136.75 (paid for by UKTI)
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",5-8 May,"US (Washington DC, New York City.",To meet with various organisations and Federal officials to discuss Social Investment and Social Action including lessons learned from US and UK.,Scheduled,,"£3,473"
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP ",10-11 June,Berlin,Meeting German Parliamentarians,Scheduled,,£445.00
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",5-10 May,India (Mumbai and Chennai),Trade (Health) Mission,Scheduled,,"£3,579.65"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",18-24 May,Brazil (Rio and Sao Paulo),Trade (Health) mission,Scheduled,,"£6,271.78"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",2-3 June,Paris,EU-US FTA,Scheduled,,£450.11
