Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",04-Apr-2011,Murdoch Maclennan & Tony Gallagher (Daily Telegraph),Dinner
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",09-May-2011,International Press Institute,Dinner speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",18-May-2011,CBI,Dinner speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",20-May-2011,"Sly Bailey (Trinity Mirror), Neil Benson (Trinity Mirror regionals), Darren Thwaites (Gazette media), Brian Aitken (The Journal), Mark Thomas (Daily Post), Alison Gow (Digital Media Wales), Roy Wright (Huddersfield Daily Examiner), Eric Langton (Chester Chronicle), Lloyd Embley (People)",Lunch
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",28-May-2011,UEFA,VIP tickets and hospitality for the Champion’s League Final*
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",06-Jun-2011,Evgeny Lebedev (Evening Standard Ltd. & Independent Print Ltd.),Dinner
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",13-Jun-2011,Bloomberg,Lunch
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",15-Jun-2011,Tom Bradby (ITV),Lunch
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",16-Jun-2011,Press Gallery,Lunch speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",22-Jun-2011,Shell,Internal flights to Shell plant in Brazil
