Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",02-Jul-2011,All England Lawn Tennis Club,Lunch and tickets*
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",06-Jul-2011,Atlantic Partnership,Breakfast
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",07-Sep-2011,Evgeny Lebedev (Evening Standard),Dinner*
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",14-Sep-2011,Chris Blackhurst (The Independent),Drinks
,,,
,,,
,,,
,,,
,,,
,,,
