Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
,,,
"Leader of House of Commons, Lord Privy Seal, The Rt Hon George Young MP",03-Jun-2010,De La Rue,Dinner
,07-Jul-2010,Chevening Estate,Lunch
"Parliamentary Secretary, Deputy Leader of the House of Commons, David Heath MP",nil return,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon The Lord Strathclyde",15-May-2010,BBC,Tickets for 'Over the Rainbow'
,24-May-2010,PricewaterhouseCoopers,Tickets for Chelsea Flower Show
,08-Jul-2010,BBC,Lunch
,13-Jul-2010,The Times,Lunch
"Parliamentary Secretary to the Treasury and Chief Whip, The Rt Hon Patrick McLoughlin MP",01-Jul-2010,BBC,Lunch
,15-Jul-2010,Channel 4,Lunch
"Assistant Government Whip, Philip Dunne MP",25-May-2010,Fleming Family & Partners,Dinner
,26-May-2010,Nominet,Dinner
,03-Jun-2010,Retail Week,Breakfast
,14-Jul-2010,National Trust,Dinner
,15-Jul-2010,The Financial Times,Lunch
"Assistant Government Whip, Robert Goodwill MP",21-Jun-2010,Ford of Europe,Dinner
,11-Jul-2010,Royal Automobile Club Motor Sports Association,Lunch and tickets for British Grand Prix*
Other Whips (Commons),nil return,,
"Chief Whip (Captain of the Honourable Corps of the Gentlemen-at-Arms), The Rt Hon Baroness Anelay of St Johns DBE",nil return,,
Whips (Lords),nil return,,
,,,
* accompanied by spouse/partner or other family member or friend,,,
,,,
Note,,,
"Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined",,,
