Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",20-21 May 2010,"Berlin, Germany",Bilaterals with German Chancellor and French President,Charter,9,"£33,308"
,,"Paris, France",,,,
,9-12 June 2010,Abu Dhabi,Bilaterals with Sheikh Khalifa bin Zayed Al Nahyan and Afghan President. Visit to troops,Scheduled,,"£3,434"
,,Afghanistan,,,,
,16-17 June 2010,"Brussels, Belgium",European Council,Charter/Eurostar,5,"£6,430"
,24-27 June 2010,"Toronto, Canada",G8 and G20 Summits,Charter,23,"£303,006"
,19-22 July 2010,"Washington/New York, USA",Bilateral talks with US President. Meeting with Mayor of New York and Inward investors,Scheduled,,"£4,487"
,26-30 July 2010,"Ankara, Turkey",Bilaterals with Turkish and Indian Prime Ministers,Charter,24,"£173,310"
,,"Delhi, India",,,,

